,PID,condition,time,Slope,delay_half
0,0,A SS2 Superset,482.5,0.07588573776262722,first
1,0,B SS1 Broad,482.5,0.07291155386869973,first
2,1,A SS2 Superset,482.5,0.06837974720310994,first
3,1,B SS1 Broad,482.5,0.09265223935330962,first
4,2,A SS2 Superset,482.5,-0.010754304151387764,first
5,2,B SS1 Broad,482.5,0.00865485750379135,first
6,3,A SS2 Superset,482.5,0.030417746166383253,first
7,3,B SS1 Broad,482.5,0.02438702050189372,first
8,4,A SS2 Superset,482.5,0.13962481688209505,first
9,4,B SS1 Broad,482.5,0.09365252068753756,first
10,5,A SS2 Superset,482.5,0.03690990383168197,first
11,5,B SS1 Broad,482.5,0.0479867400604565,first
12,6,A SS2 Superset,482.5,0.006012963712302359,first
13,6,B SS1 Broad,482.5,0.02911821258725114,first
14,7,A SS2 Superset,482.5,0.04723977236551491,first
15,7,B SS1 Broad,482.5,0.03574087698572285,first
16,8,A SS2 Superset,482.5,0.07748199669006327,first
17,8,B SS1 Broad,482.5,0.0831345754068044,first
18,9,A SS2 Superset,482.5,0.1294925367487262,first
19,9,B SS1 Broad,482.5,0.15589547713444782,first
20,10,A SS2 Superset,482.5,-0.011287746981733182,first
21,10,B SS1 Broad,482.5,0.009877848169018289,first
22,11,A SS2 Superset,482.5,0.035694917537515185,first
23,11,B SS1 Broad,482.5,0.040709275318482424,first
24,12,A SS2 Superset,482.5,0.06658998464134308,first
25,12,B SS1 Broad,482.5,0.09381108954246697,first
26,13,A SS2 Superset,482.5,0.054832434253737905,first
27,13,B SS1 Broad,482.5,0.036797719285521925,first
28,14,A SS2 Superset,482.5,0.12963630285701536,first
29,14,B SS1 Broad,482.5,0.09735040836473363,first
30,15,A SS2 Superset,482.5,0.03551834942029985,first
31,15,B SS1 Broad,482.5,0.007986510232082552,first
32,16,A SS2 Superset,482.5,0.09700410352153879,first
33,16,B SS1 Broad,482.5,0.09920792093775051,first
34,17,A SS2 Superset,482.5,0.1368801303927849,first
35,17,B SS1 Broad,482.5,0.08233979862192489,first
36,18,A SS2 Superset,482.5,0.015970895807266156,first
37,18,B SS1 Broad,482.5,0.004529608382554534,first
38,19,A SS2 Superset,482.5,0.011444848062359248,first
39,19,B SS1 Broad,482.5,0.001967446113105496,first
40,20,A SS2 Superset,482.5,0.007021546891505549,first
41,20,B SS1 Broad,482.5,0.018375876914422523,first
42,21,A SS2 Superset,482.5,0.14205024610051825,first
43,21,B SS1 Broad,482.5,0.12428050865315787,first
44,22,A SS2 Superset,482.5,0.05132940205068212,first
45,22,B SS1 Broad,482.5,0.02168787278013454,first
0,0,A SS2 Superset,926.5,0.1290425834826663,last
1,0,B SS1 Broad,926.5,0.09849182606148622,last
2,1,A SS2 Superset,926.5,0.10749433559527653,last
3,1,B SS1 Broad,926.5,0.09326627096602556,last
4,2,A SS2 Superset,926.5,-0.005009336095393785,last
5,2,B SS1 Broad,926.5,-0.0018414498825336915,last
6,3,A SS2 Superset,926.5,-0.016295242546703587,last
7,3,B SS1 Broad,926.5,-0.005211747008085601,last
8,4,A SS2 Superset,926.5,0.07135397425234297,last
9,4,B SS1 Broad,926.5,0.033707694743621085,last
10,5,A SS2 Superset,926.5,0.0012288697504127314,last
11,5,B SS1 Broad,926.5,0.025348389646394062,last
12,6,A SS2 Superset,926.5,0.005965959673460199,last
13,6,B SS1 Broad,926.5,0.006494849349279232,last
14,7,A SS2 Superset,926.5,0.01792387978257176,last
15,7,B SS1 Broad,926.5,0.016291067091199634,last
16,8,A SS2 Superset,926.5,0.03293345767169454,last
17,8,B SS1 Broad,926.5,0.015885408543404575,last
18,9,A SS2 Superset,926.5,0.09355699931197586,last
19,9,B SS1 Broad,926.5,0.11918705404229339,last
20,10,A SS2 Superset,926.5,0.011662693463667108,last
21,10,B SS1 Broad,926.5,0.0249513464384058,last
22,11,A SS2 Superset,926.5,0.02748122552002037,last
23,11,B SS1 Broad,926.5,0.014669300015497334,last
24,12,A SS2 Superset,926.5,0.08271299686666342,last
25,12,B SS1 Broad,926.5,0.058087171826881424,last
26,13,A SS2 Superset,926.5,0.08501813287686177,last
27,13,B SS1 Broad,926.5,0.07090304451523508,last
28,14,A SS2 Superset,926.5,0.013224573860394396,last
29,14,B SS1 Broad,926.5,0.026811849238284592,last
30,15,A SS2 Superset,926.5,0.05127002090059879,last
31,15,B SS1 Broad,926.5,0.000841031113731061,last
32,16,A SS2 Superset,926.5,0.1428347381800513,last
33,16,B SS1 Broad,926.5,0.06298080166813962,last
34,17,A SS2 Superset,926.5,0.12879664098850982,last
35,17,B SS1 Broad,926.5,0.07167997489192629,last
36,18,A SS2 Superset,926.5,0.02352572695203572,last
37,18,B SS1 Broad,926.5,-0.010334452549183495,last
38,19,A SS2 Superset,926.5,-0.01368561902631868,last
39,19,B SS1 Broad,926.5,-0.0059021990548082486,last
40,20,A SS2 Superset,926.5,0.03788034690647859,last
41,20,B SS1 Broad,926.5,0.019795550016139724,last
42,21,A SS2 Superset,926.5,0.11583182366413977,last
43,21,B SS1 Broad,926.5,0.07991557859261501,last
44,22,A SS2 Superset,926.5,0.017210674463357396,last
45,22,B SS1 Broad,926.5,0.01873575623825845,last
