,PID,location,width,Slope,time
0,0,Centralized,Broad,0.07425706111189573,698.5
1,0,Centralized,Narrow,0.13665502288951825,698.5
2,0,Lateralized,Broad,0.08934079938676373,698.5
3,0,Lateralized,Narrow,0.04663768666601405,698.5
4,1,Centralized,Broad,0.1045274168682518,698.5
5,1,Centralized,Narrow,0.16093160490780808,698.5
6,1,Lateralized,Broad,0.06234882576315935,698.5
7,1,Lateralized,Narrow,0.1173659312258947,698.5
8,2,Centralized,Broad,0.0012487003558893871,698.5
9,2,Centralized,Narrow,0.014897795088455066,698.5
10,2,Lateralized,Broad,0.008778794296103079,698.5
11,2,Lateralized,Narrow,0.00017080018464832173,698.5
12,3,Centralized,Broad,0.05896583516800219,698.5
13,3,Centralized,Narrow,0.045260524789662845,698.5
14,3,Lateralized,Broad,0.012511729630632615,698.5
15,3,Lateralized,Narrow,0.04669544201268657,698.5
16,4,Centralized,Broad,0.03605496683361373,698.5
17,4,Centralized,Narrow,0.05319309851237837,698.5
18,4,Lateralized,Broad,0.09125363057008493,698.5
19,4,Lateralized,Narrow,0.053342344469602516,698.5
20,5,Centralized,Broad,0.06345812521969652,698.5
21,5,Centralized,Narrow,0.04398201542619186,698.5
22,5,Lateralized,Broad,0.060840987004209195,698.5
23,5,Lateralized,Narrow,0.04338269647781853,698.5
24,6,Centralized,Broad,0.014660191573590848,698.5
25,6,Centralized,Narrow,0.0025308597097230736,698.5
26,6,Lateralized,Broad,0.011239094616483824,698.5
27,6,Lateralized,Narrow,-0.0013677605554310438,698.5
28,7,Centralized,Broad,0.010325339684723631,698.5
29,7,Centralized,Narrow,0.05816632987380785,698.5
30,7,Lateralized,Broad,0.05762188981044606,698.5
31,7,Lateralized,Narrow,0.04938133771377934,698.5
32,8,Centralized,Broad,0.09339609149915917,698.5
33,8,Centralized,Narrow,0.08990496677582031,698.5
34,8,Lateralized,Broad,0.04748725689761042,698.5
35,8,Lateralized,Narrow,-0.005374945290961332,698.5
36,9,Centralized,Broad,0.11501879459562561,698.5
37,9,Centralized,Narrow,0.1597987981013574,698.5
38,9,Lateralized,Broad,0.11526582866995763,698.5
39,9,Lateralized,Narrow,0.1773972474726007,698.5
40,10,Centralized,Broad,0.007588991375021413,698.5
41,10,Centralized,Narrow,0.0003874942930534499,698.5
42,10,Lateralized,Broad,0.025135641988849215,698.5
43,10,Lateralized,Narrow,0.028757724595393174,698.5
44,11,Centralized,Broad,0.059722303193778525,698.5
45,11,Centralized,Narrow,0.07642957213810522,698.5
46,11,Lateralized,Broad,0.0450382440509465,698.5
47,11,Lateralized,Narrow,0.06708368384394804,698.5
48,12,Centralized,Broad,0.09174801516983926,698.5
49,12,Centralized,Narrow,0.09671482082382364,698.5
50,12,Lateralized,Broad,0.07391244937667164,698.5
51,12,Lateralized,Narrow,0.10469598649206655,698.5
52,13,Centralized,Broad,0.07960085969457943,698.5
53,13,Centralized,Narrow,0.11192405565837717,698.5
54,13,Lateralized,Broad,0.06728999851511688,698.5
55,13,Lateralized,Narrow,0.07726295696264808,698.5
56,14,Centralized,Broad,0.08060157632415987,698.5
57,14,Centralized,Narrow,0.08455212980910279,698.5
58,14,Lateralized,Broad,0.06781198738826792,698.5
59,14,Lateralized,Narrow,0.05447269628912543,698.5
60,15,Centralized,Broad,0.016205577507035718,698.5
61,15,Centralized,Narrow,0.04280831070275917,698.5
62,15,Lateralized,Broad,-0.009890304672930861,698.5
63,15,Lateralized,Narrow,0.020339838515252076,698.5
64,16,Centralized,Broad,0.09542945753809257,698.5
65,16,Centralized,Narrow,0.1316996621789003,698.5
66,16,Lateralized,Broad,0.09383856950393381,698.5
67,16,Lateralized,Narrow,0.15838074796556176,698.5
68,17,Centralized,Broad,0.10123324163004319,698.5
69,17,Centralized,Narrow,0.14987884804485224,698.5
70,17,Lateralized,Broad,0.07914210316773365,698.5
71,17,Lateralized,Narrow,0.12446041071006823,698.5
72,18,Centralized,Broad,0.005808642497102129,698.5
73,18,Centralized,Narrow,0.006662733938804328,698.5
74,18,Lateralized,Broad,-0.0013191762223877176,698.5
75,18,Lateralized,Narrow,0.006320262727870804,698.5
76,19,Centralized,Broad,0.03154742434710663,698.5
77,19,Centralized,Narrow,0.026214860085401574,698.5
78,19,Lateralized,Broad,-0.024567892784655994,698.5
79,19,Lateralized,Narrow,0.0056259822117734545,698.5
80,20,Centralized,Broad,0.01914956121128082,698.5
81,20,Centralized,Narrow,0.02982373537420884,698.5
82,20,Lateralized,Broad,0.02754017491525838,698.5
83,20,Lateralized,Narrow,0.0722697354184508,698.5
84,21,Centralized,Broad,0.09438122160475658,698.5
85,21,Centralized,Narrow,0.17399317182377277,698.5
86,21,Lateralized,Broad,0.10632730819714374,698.5
87,21,Lateralized,Narrow,0.1465850982395042,698.5
88,22,Centralized,Broad,0.014106226262747042,698.5
89,22,Centralized,Narrow,0.03263650401139345,698.5
90,22,Lateralized,Broad,0.024433288166600724,698.5
91,22,Lateralized,Narrow,0.057989559145409486,698.5
